,track_name,track_artists,artist_genres,artist_popularity,track_album,track_duration,album_release:yyyy,album_release:mm,album_release:dd,artist_image,track_image,added_by,added_at
10,The Great Curve - 2005 Remaster,['Talking Heads'],"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",[71],Remain in Light (Deluxe Version),6.459333333333333,1980,10,08,['https://i.scdn.co/image/60bfd4ad01d8d9142d88c3c0b73cea36bf327ea7'],https://i.scdn.co/image/ab67616d00001e02e56fa8c916dc6ce419dcf557,Daniel Xenes,2022-01-27T16:32:12Z
11,Right There,['Anderson .Paak'],['escape room'],[85],Venice,3.45555,2014,10,28,['https://i.scdn.co/image/ab6761610000517496287bd47570ff13f0c01496'],https://i.scdn.co/image/ab67616d00001e021904cf63d8f039da1555ad18,Daniel Xenes,2022-01-27T16:32:12Z
12,Prayer Knees,['Tijuana Panthers'],"['garage pop', 'indie garage rock', 'indie surf']",[41],Max Baker,3.11845,2015,10,02,['https://i.scdn.co/image/ab67616100005174c2a5b885887617e771baa13a'],https://i.scdn.co/image/ab67616d00001e021e35ae82b0d66271501a371d,Daniel Xenes,2022-01-27T16:32:12Z
13,MAFIA,['Travis Scott'],"['rap', 'slap house']",[93],ESCAPE PLAN / MAFIA,4.0,2021,11,05,['https://i.scdn.co/image/ab67616100005174e707b87e3f65997f6c09bfff'],https://i.scdn.co/image/ab67616d00001e02eba68473429f9f4eaf1943d0,Daniel Xenes,2022-01-27T16:32:12Z
14,Badfish,['Sublime'],"['alternative rock', 'reggae fusion', 'ska mexicano', 'ska punk']",[73],Jah Won't Pay The Bills,3.13475,1991,,,['https://i.scdn.co/image/ab67616100005174e726280500259dbdb97a8be4'],https://i.scdn.co/image/ab67616d00001e02e6f11f4c160143e5efb97651,Daniel Xenes,2022-01-27T16:32:12Z
15,Byof,['vlush'],[],[29],Who 250,3.135666666666667,2019,05,24,['https://i.scdn.co/image/ab6761610000517490e5b6773421a02201031ea0'],https://i.scdn.co/image/ab67616d00001e025b08b21e261dab5b838041bd,Daniel Xenes,2022-01-27T16:32:12Z
16,Herside Story,"['GoldLink', 'Hare Squead']","['alternative r&b', 'dmv rap', 'hip hop', 'indie soul', 'pop', 'r&b', 'rap', 'underground hip hop', 'irish hip hop']","[70, 51]",At What Cost,3.062666666666667,2017,03,24,"['https://i.scdn.co/image/fe7a2b8c94b4c479b03d3d045c9b538cd2438311', 'https://i.scdn.co/image/ab67616100005174a737d83b8ba1f13209dfea37']",https://i.scdn.co/image/ab67616d00001e027bcd3cd54e8399ae38cc6e64,Daniel Xenes,2022-01-27T16:32:12Z
17,Funky Galileo,['Sure Sure'],"['indie poptimism', 'indie rock', 'la indie', 'modern rock']",[58],Funky Galileo,4.1033333333333335,2020,03,06,['https://i.scdn.co/image/ab676161000051743a2c4b388f7ababb018e4afa'],https://i.scdn.co/image/ab67616d00001e02b5629a64cf8516a28c8bba2e,Daniel Xenes,2022-01-27T16:32:12Z
18,Easy,"['Autograf', 'Papa Ya']","['deep house', 'deep tropical house', 'edm', 'electropop', 'house', 'indie poptimism', 'nu disco', 'pop dance', 'pop edm', 'tropical house', 'vapor soul', 'vapor twitch']","[58, 41]",The Ace Of You,2.75605,2020,10,23,"['https://i.scdn.co/image/ab6761610000517418f0596f15e4a6ebde3c643b', 'https://i.scdn.co/image/ab6761610000517405441b9d8be5be254a2c5399']",https://i.scdn.co/image/ab67616d00001e021773f0b0bfacc1363fd81ba6,Daniel Xenes,2022-01-27T16:32:12Z
19,Think About Things,['Daði Freyr'],"['icelandic pop', 'sunnlensk tonlist']",[60],Think About Things,2.88975,2020,04,09,['https://i.scdn.co/image/ab67616100005174ee2d37dfa0a387031555e4ce'],https://i.scdn.co/image/ab67616d00001e02a5c51e96d2583bfb3e45d504,Daniel Xenes,2022-01-27T16:32:12Z
20,Vicodin,['CVBZ'],"['electropop', 'pop dance', 'pop edm']",[59],Vicodin,3.0873666666666666,2017,05,12,['https://i.scdn.co/image/ab6761610000517477e0931f7e53b9ec6ed2a7af'],https://i.scdn.co/image/ab67616d00001e02f133eb15d8992dd67f6f7818,Daniel Xenes,2022-01-27T16:32:12Z
21,What It Is,['Amber Mark'],"['alternative r&b', 'indie r&b', 'indie soul', 'nyc pop']",[68],What It Is,5.418416666666666,2021,09,24,['https://i.scdn.co/image/ab676161000051747f388362c6c43ba9bacd4f67'],https://i.scdn.co/image/ab67616d00001e02a01aae178cea42d2dc080202,Daniel Xenes,2022-01-27T16:32:12Z
22,Skankin' Sweet,['Chronixx'],"['dancehall', 'modern reggae']",[66],Chronology,4.202083333333333,2017,07,07,['https://i.scdn.co/image/ab6761610000517457e9c95023ac32d538ec7eb5'],https://i.scdn.co/image/ab67616d00001e02fb3d081418a02919fb1bb58f,Daniel Xenes,2022-01-27T16:32:12Z
23,clover,['KAMAUU'],"['alternative r&b', 'downtempo bass']",[53],TheKAMAUU-CASSETTE: MíXD GRēēNS,3.9648166666666667,2019,07,30,['https://i.scdn.co/image/ab676161000051746e220b73eeee25d5524d4028'],https://i.scdn.co/image/ab67616d00001e020e748b5d824fe20465f16e54,Daniel Xenes,2022-01-27T16:32:12Z
24,SICKO,"['Felix Jaehn', 'GASHI', 'FAANGS']","['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop rap', 'tropical house', 'pop rap', 'trap soul']","[78, 69, 48]",SICKO,2.6317666666666666,2020,03,13,"['https://i.scdn.co/image/ab67616100005174e7edcca41d2f5df425f3b34a', 'https://i.scdn.co/image/ab67616100005174e81a40f1e4291263b6d7f9a2', 'https://i.scdn.co/image/ab67616100005174f86b1837d34b146db96843ea']",https://i.scdn.co/image/ab67616d00001e02c8bd1833466a4b4671e3e5ef,Daniel Xenes,2022-01-27T16:32:12Z
25,Let Go,['Beau Young Prince'],['dmv rap'],[49],Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2.9608833333333333,2018,12,14,['https://i.scdn.co/image/ab6761610000517403ac49db666ddf7bf34acc0d'],https://i.scdn.co/image/ab67616d00001e02e2e352d89826aef6dbd5ff8f,Daniel Xenes,2022-01-27T16:32:12Z
